time,temperature,humidity
1575001006.053991,11.00,54.00
1575001007.082104,11.00,54.00
1575001008.142801,11.00,54.00
1575001009.167393,11.00,54.00
1575001010.228112,11.00,54.00
1575001011.256336,11.00,54.00
1575001012.315738,11.00,54.00
1575001013.341106,11.00,54.00
1575001014.402022,11.00,54.00
1575001015.4288,11.00,54.00
1575001016.489753,11.00,54.00
1575001017.515216,11.00,55.00
1575001018.574785,11.00,55.00
1575001019.602588,11.00,55.00
1575001020.663833,11.00,55.00
1575001021.687931,11.00,55.00
1575001022.748907,11.00,55.00
1575001023.776919,11.00,55.00
1575001024.838406,11.00,55.00
1575001025.861805,11.00,55.00
1575001026.923257,11.00,55.00
1575001027.949422,11.00,55.00
1575001029.010525,11.00,55.00
1575001030.03593,11.00,55.00
1575001031.099849,11.00,55.00
1575001032.123642,11.00,55.00
1575001033.184988,11.00,55.00
1575001034.211827,11.00,55.00
1575001035.272861,11.00,55.00
1575001036.298463,11.00,55.00
1575001037.35815,11.00,55.00
1575001038.386066,11.00,55.00
1575001039.446979,11.00,55.00
1575001040.471035,11.00,55.00
1575001041.531947,11.00,55.00
1575001042.559789,11.00,55.00
1575001043.620938,11.00,55.00
1575001044.646612,11.00,55.00
1575001045.706204,11.00,55.00
1575001046.733788,11.00,55.00
1575001047.793674,11.00,55.00
1575001048.819107,11.00,55.00
1575001049.880175,11.00,55.00
1575001050.906813,11.00,55.00
1575001051.967789,11.00,55.00
1575001052.992029,11.00,55.00
1575001054.052851,11.00,55.00
1575001055.08081,11.00,55.00
1575001056.141656,11.00,55.00
1575001057.166047,11.00,55.00
1575001058.226907,11.00,55.00
1575001060.677279,11.00,55.00
1575001060.683872,11.00,55.00
1575001061.338601,11.00,56.00
1575001062.400884,11.00,56.00
1575001063.427687,11.00,56.00
1575001064.488537,11.00,56.00
1575001065.514219,11.00,56.00
1575001066.57364,11.00,56.00
1575001067.601474,11.00,56.00
1575001068.662453,11.00,56.00
1575001069.689016,11.00,56.00
1575001070.747732,11.00,56.00
1575001071.775634,11.00,56.00
1575001072.836588,11.00,56.00
1575001073.860598,11.00,56.00
1575001074.921637,11.00,56.00
1575001075.948298,10.00,55.00
1575001077.00927,10.00,55.00
1575001078.034704,10.00,55.00
1575001079.104552,10.00,55.00
1575001080.122156,10.00,55.00
1575001081.183137,10.00,55.00
1575001082.207558,10.00,55.00
1575001083.26832,10.00,55.00
1575001084.296537,10.00,55.00
1575001085.357976,10.00,55.00
1575001086.381509,10.00,55.00
1575001087.44241,10.00,55.00
1575001088.470205,10.00,55.00
1575001089.529984,10.00,55.00
1575001090.555519,10.00,55.00
1575001091.61656,10.00,55.00
1575001092.642873,10.00,55.00
1575001093.703983,10.00,55.00
1575001094.729601,10.00,55.00
1575001095.789212,10.00,55.00
1575001096.817056,10.00,55.00
1575001097.877979,10.00,55.00
1575001098.902068,10.00,55.00
1575001099.963103,10.00,55.00
1575001100.990954,10.00,55.00
1575001102.051889,10.00,55.00
1575001103.076268,10.00,55.00
1575001104.137298,10.00,55.00
1575001105.16402,10.00,55.00
1575001106.224697,10.00,55.00
1575001107.250385,10.00,55.00
1575001108.311158,10.00,55.00
1575001109.3378,10.00,55.00
1575001110.398874,10.00,55.00
1575001111.422948,10.00,55.00
1575001112.483794,10.00,55.00
1575001113.512084,10.00,56.00
1575001114.572642,10.00,56.00
1575001115.596954,10.00,56.00
1575001116.658181,10.00,56.00
1575001117.685776,10.00,56.00
1575001118.746748,10.00,56.00
1575001119.770755,10.00,56.00
1575001120.832273,10.00,56.00
1575001121.858615,10.00,56.00
1575001122.919701,10.00,56.00
1575001123.945071,10.00,56.00
1575001125.004782,10.00,56.00
1575001126.032644,10.00,56.00
1575001127.093535,10.00,56.00
1575001128.117879,10.00,56.00
1575001129.178876,10.00,56.00
1575001130.207142,10.00,56.00
1575001131.267257,10.00,56.00
1575001132.292176,10.00,56.00
1575001133.352921,10.00,56.00
1575001134.379799,10.00,56.00
1575001135.440837,10.00,56.00
1575001136.464946,10.00,56.00
1575001137.52632,10.00,56.00
1575001138.553938,10.00,56.00
1575001139.61419,10.00,56.00
1575001140.639326,10.00,56.00
1575001141.700373,10.00,56.00
1575001142.727209,10.00,56.00
1575001143.788232,10.00,56.00
1575001144.812218,10.00,56.00
1575001145.873348,10.00,56.00
1575001146.89838,10.00,56.00
1575001147.961213,10.00,56.00
1575001148.986425,10.00,56.00
1575001150.04766,10.00,56.00
1575001151.071473,10.00,56.00
1575001152.135304,10.00,56.00
1575001153.159203,10.00,56.00
1575001154.220049,10.00,56.00
1575001155.245621,10.00,56.00
1575001156.306639,10.00,56.00
1575001157.33322,10.00,56.00
1575001158.394062,10.00,56.00
1575001159.41868,10.00,56.00
1575001160.48042,10.00,56.00
1575001161.507579,10.00,56.00
1575001162.568612,10.00,56.00
1575001163.59261,10.00,56.00
1575001164.653526,10.00,56.00
1575001165.680173,10.00,56.00
1575001166.74111,10.00,56.00
1575001167.766533,10.00,56.00
1575001168.827504,10.00,56.00
1575001169.853986,10.00,56.00
1575001170.914977,10.00,56.00
1575001171.939219,10.00,56.00
1575001173.000311,10.00,56.00
1575001174.028085,10.00,56.00
1575001175.089311,10.00,56.00
1575001176.113134,10.00,56.00
1575001177.174182,10.00,56.00
1575001178.202001,10.00,56.00
1575001179.261752,10.00,56.00
1575001180.287112,10.00,56.00
1575001181.348344,10.00,56.00
1575001182.374998,10.00,57.00
1575001183.436129,10.00,57.00
1575001184.459975,10.00,56.00
1575001185.521273,10.00,56.00
1575001186.548763,10.00,57.00
1575001187.61012,10.00,57.00
1575001188.634003,10.00,57.00
1575001189.694925,10.00,57.00
1575001190.722595,10.00,57.00
1575001191.782556,10.00,57.00
1575001192.808073,10.00,57.00
1575001193.868859,10.00,57.00
1575001194.895805,10.00,57.00
1575001195.956349,10.00,57.00
1575001196.981796,10.00,57.00
1575001198.041998,10.00,57.00
1575001199.069497,10.00,57.00
1575001200.130542,10.00,57.00
1575001201.154605,10.00,57.00
1575001202.215827,10.00,57.00
1575001203.243452,10.00,57.00
1575001204.304462,10.00,57.00
1575001205.328784,10.00,57.00
1575001206.389628,10.00,57.00
1575001207.417526,10.00,57.00
1575001208.477325,10.00,57.00
1575001209.502695,10.00,57.00
1575001210.563518,10.00,57.00
1575001211.590315,10.00,57.00
1575001212.651151,10.00,57.00
1575001213.675315,10.00,57.00
1575001214.736787,10.00,57.00
1575001215.764067,10.00,57.00
1575001216.825135,10.00,57.00
1575001217.849465,10.00,57.00
1575001218.910376,10.00,57.00
1575001219.938192,10.00,57.00
1575001220.999153,10.00,57.00
1575001222.023217,10.00,57.00
1575001223.08425,10.00,57.00
